run,repetition,Module,busy:timeavg,created:last,delaysVisited:max,delaysVisited:mean,dropped:count,generation:max,generation:mean,lifeTime:max,lifeTime:mean,queueingTime:max,queueingTime:mean,queueLength:max,queueLength:timeavg,queuesVisited:max,queuesVisited:mean,totalDelayTime:max,totalDelayTime:mean,totalQueueingTime:max,totalQueueingTime:mean,totalServiceTime:max,totalServiceTime:mean
General-0-20190508-14:47:15-3216,0,AmusementAlt4.Source,NaN,853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20190508-14:47:15-3216,0,AmusementAlt4.TicketQueue1,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,218.56566419231,63.710406263214,13,2.2435458711549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20190508-14:47:15-3216,0,AmusementAlt4.TicketBooth1,0.93523086083657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20190508-14:47:15-3216,0,AmusementAlt4.TicketBooth2,0.89564588811588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20190508-14:47:15-3216,0,AmusementAlt4.TicketBooth3,0.86885866084999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20190508-14:47:15-3216,0,AmusementAlt4.TicketBooth4,0.82556119273803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20190508-14:47:15-3216,0,AmusementAlt4.SecurityQueue1,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20190508-14:47:15-3216,0,AmusementAlt4.SecurityBooth2,0.61440709705709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20190508-14:47:15-3216,0,AmusementAlt4.SecurityBooth3,0.4450957733703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20190508-14:47:15-3216,0,AmusementAlt4.EnterPark,NaN,NaN,0,0,NaN,0,0,334.83065621853,152.71726876206,NaN,NaN,NaN,NaN,2,1.4982415005862,0,0,218.56566419231,47.726787341376,166.75572776822,104.99048142068
General-0-20190508-14:47:15-3216,0,AmusementAlt4.SecurityBooth1,0.27413615025531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20190508-14:47:15-3216,0,AmusementAlt4.SecurityBooth4,0.07646804049117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
